Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property 
kortenberg,"469,000",4,240,Hyper equipped,0,54,None,None,2,None,Good,apartment
herstal,"300,000",3,396,Installed,None,None,93,318,2,0,Good,mixed-use-building
brakel,"169,000",2,120,Semi equipped,0,40,40,143,None,None,To be done up,house
fleron,"57,000",4,114,Semi equipped,0,None,None,260,2,None,To be done up,house
attert,"220,000",2,95,Installed,0,52,None,None,2,None,To be done up,duplex
tienen,"299,000",3,210,Hyper equipped,0,15,60,222,3,None,As new,house
villers-le-bouillet,"310,000",3,160,Not installed,0,None,None,810,3,None,Good,house
brasschaat,"285,000",2,110,Installed,0,None,96,None,2,0,As new,apartment
kortemark,"134,000",1,45,Installed,0,None,None,None,None,None,Good,apartment
antwerp,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
gent,"425,000",3,170,Installed,0,20,None,64,2,0,Just renovated,house
roeselare,"265,000",3,135,Hyper equipped,0,None,90,235,None,None,As new,house
uccle,"725,000",4,207,Hyper equipped,0,None,None,None,None,1,Good,apartment
evere,"199,000",2,70,Semi equipped,0,None,None,None,2,0,To be done up,apartment
seraing,"359,500",3,122,Installed,0,34,None,None,None,None,None,apartment
jurbise,"286,607",3,109,Installed,0,39,None,None,2,0,None,ground-floor
dison,"3,699,000",94,3189,Installed,0,220,778,3699,4,0,Good,apartment-block
auderghem,"936,000",3,146,Hyper equipped,0,96,278,None,None,None,As new,ground-floor
avelgem,"199,000",3,218,Semi equipped,0,None,1258,1383,None,None,To be done up,house
eeklo,"265,000",3,115,None,0,None,None,None,2,0,Good,apartment
ostende,"325,000",2,60,USA installed,1,8,None,None,2,0,None,apartment
ecaussinnes-denghien,"150,000",2,140,Not installed,0,None,None,270,2,None,To renovate,house
blankenberge,"607,500",2,86,Hyper equipped,0,13,None,None,2,0,None,apartment
blankenberge,"294,400",2,89,Installed,0,10,None,None,4,None,None,apartment
courcelles,"215,000",3,128,Installed,0,None,None,None,3,0,As new,apartment
houffalize,"549,000",7,580,Hyper equipped,0,100,2000,2900,None,None,Good,farmhouse
bousval,"399,000",3,109,Installed,0,43,575,625,4,None,As new,villa
musson,"195,000",5,212,Installed,0,10,580,780,3,None,To renovate,house
willebroek,"600,000",None,None,Semi equipped,0,None,None,295,2,None,Good,apartment-block
