Locality,Price,Bedrooms,Living area,Kitchen type,Furnished,Terrace surface,Garden surface,Surface of the plot,Number of frontages,Swimming pool,Building condition,Type of property
puurs,"389,000",3,150,Installed,0,7,None,112,2,None,Good,house
jette,"225,000",2,92,Hyper equipped,0,2,None,None,2,0,To be done up,apartment
lennik,"645,000",5,250,Hyper equipped,0,50,2000,2256,4,None,As new,exceptional-property
koekelberg,"229,000",2,100,Not installed,0,4,None,None,2,0,To renovate,apartment
brussels-city,"275,000",2,77,Installed,0,20,None,None,4,0,As new,apartment
lasne,"1,195,000",4,420,Installed,0,12,None,2440,4,0,To be done up,villa
zellik,"195,000",2,65,Installed,0,7,None,None,None,None,Just renovated,apartment
antwerp,"495,000",4,156,Hyper equipped,None,4,55,None,2,0,Good,apartment
uccle,"349,000",3,120,None,None,None,25,77,2,None,To renovate,house
laeken,"275,000",2,85,Hyper equipped,0,13,None,None,2,None,As new,apartment
uccle,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
antwerp,"329,000",2,85,Hyper equipped,0,66,66,None,2,0,As new,ground-floor
belsele,"410,000",2,130,None,0,25,600,789,4,None,As new,house
avelgem,"110,000",2,75,None,0,None,None,185,2,0,To renovate,house
schaerbeek,"850,000",7,450,Not installed,0,20,30,160,2,None,To renovate,apartment-block
gingelom,"449,000",2,252,Installed,0,None,None,2843,3,None,Good,house
schaerbeek,"335,000",3,123,Hyper equipped,0,9,None,None,3,0,Good,apartment
schaerbeek,"650,000",6,307,Installed,0,None,None,140,2,0,To be done up,mansion
zwijnaarde,"395,000",2,103,None,None,31,None,None,None,0,None,apartment
antwerp,"589,000",3,222,Installed,0,None,None,144,2,0,Just renovated,apartment-block
neupre-rotheux-rimiere,"310,000",3,108,Installed,0,88,2730,2815,4,0,To be done up,house
antwerp,"529,000",3,203,Installed,0,None,None,128,None,None,Good,house
tubize,"185,000",2,75,Semi equipped,0,None,None,None,3,None,Good,apartment
zonhoven,"349,000",3,177,Semi equipped,0,None,None,1648,3,None,To renovate,house
wemmel,"695,000",5,287,Hyper equipped,0,40,510,661,4,0,As new,house
geraardsbergen,"225,000",4,281,Semi equipped,0,None,None,172,4,None,To renovate,house
molenbeek-saint-jean,"209,000",2,81,Installed,0,6,None,None,2,0,As new,apartment
blankenberge,"235,000",1,60,Installed,0,None,None,None,2,None,None,apartment
louvain-la-neuve,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
dilsen-stokkem,"222,000",2,106,Hyper equipped,None,None,None,129,3,None,Just renovated,house
halle,"200,000",3,107,None,0,None,None,375,2,None,None,house
temse,"330,000",3,116,Semi equipped,0,88,88,None,3,0,Good,apartment
deinze,"227,000",2,89,Installed,0,52,None,None,2,None,Just renovated,apartment
woluwe-saint-pierre,"895,000",6,215,USA hyper equipped,0,20,120,248,2,0,Good,house
chaudfontaine,"1,850,000",4,None,None,None,None,None,2036,4,0,As new,mixed-use-building
emptinne,"172,000",2,155,Installed,None,None,245,None,4,None,Good,apartment
uccle,"1,450,000",2,220,None,0,None,None,None,4,0,Just renovated,apartment
oudenaarde,"265,000",5,215,None,0,None,None,234,2,None,None,mansion
s-gravenwezel,"660,265",3,None,Installed,0,70,None,None,4,0,As new,apartment
keiem,"269,500",3,138,Hyper equipped,0,None,None,162,None,None,As new,house
waarschoot,"275,000",2,111,None,0,None,None,None,2,None,As new,apartment
leuven,"695,000",5,257,None,0,40,268,388,2,None,Good,mansion
wandre,"169,000",3,109,None,0,None,70,141,2,None,Just renovated,house
lier,"274,000",2,111,Hyper equipped,0,18,None,None,None,0,As new,apartment
geluveld,"748,000",4,244,Installed,0,None,None,5000,4,0,Good,house
meulebeke,"735,000",4,319,Installed,0,None,None,1164,None,None,Good,villa
nivelles,"510,000",3,200,USA installed,0,9,None,None,3,None,Good,apartment
tielt-winge,"390,000",3,355,Hyper equipped,0,20,80,500,3,0,As new,house
etterbeek,"595,000",6,300,None,0,15,None,89,2,0,To restore,apartment-block
bonsin,"560,000",6,400,Semi equipped,0,None,None,8000,4,None,None,house
sint-gillis,"986,000",9,340,Installed,1,None,15,None,None,None,As new,apartment
schaerbeek,"170,000",1,72,Not installed,0,12,None,None,2,0,Good,apartment
bonnert,"1,050,000",4,500,USA hyper equipped,0,100,None,3350,4,None,Good,house
pont-a-celles-thimeon,"149,900",1,71,Installed,0,None,None,40,3,None,As new,town-house
guigoven,"259,000",3,151,Semi equipped,0,None,546,813,4,None,Good,house
antwerp,"497,000",3,141,Hyper equipped,None,None,None,None,None,None,As new,apartment
sint-pieters-leeuw,"210,000",2,70,USA installed,0,3,None,None,3,None,None,apartment
namur,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
oostende,"85,000",2,60,Semi equipped,0,None,None,None,None,None,To be done up,penthouse
broechem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
middelkerke,"395,000",3,96,Installed,0,None,None,None,2,None,Good,apartment
quaregnon,"95,000",3,120,Not installed,0,None,None,360,3,None,To renovate,house
jumet,"285,000",3,220,Hyper equipped,0,60,50,1000,2,0,As new,house
aywaille,"349,500",4,170,Not installed,0,30,None,None,None,None,None,house
mariakerke,"175,000",3,110,Semi equipped,0,None,None,139,2,None,To renovate,house
uccle,"725,000",3,154,USA hyper equipped,0,49,281,None,4,0,As new,villa
bruxelles,"4,950,000",5,1100,Installed,0,None,None,None,4,1,As new,house
waregem,"1,569,675",6,782,Installed,0,None,None,1313,None,None,Good,house
gent,"350,000",3,105,None,None,36,None,None,None,0,As new,apartment
bertrix,"245,000",3,177,Hyper equipped,0,20,100,329,2,0,Good,house
haaltert,"229,000",3,180,Installed,0,None,600,763,3,None,Good,house
blankenberge,"525,000",2,75,Installed,1,None,None,None,2,None,Good,apartment
zaventem,"759,000",4,310,None,0,60,900,1097,3,0,As new,house
ixelles,"217,000",None,60,USA semi equipped,0,3,None,None,2,0,Just renovated,flat-studio
tilly,"300,000",3,136,Semi equipped,0,None,None,1028,4,None,None,villa
seraing,"120,000",4,95,Installed,0,None,None,57,2,0,Good,house
sint-amandsberg,"369,000",3,256,Installed,1,None,35,118,3,None,Good,house
ronse,"285,000",3,150,Installed,0,None,None,212,3,None,Good,house
mechelen,"429,000",4,190,None,0,36,None,127,2,0,As new,house
bruxelles,"765,000",3,170,Hyper equipped,0,55,None,None,2,0,As new,duplex
evergem,"207,500",2,72,Installed,None,16,None,None,None,0,As new,apartment
gent,"377,500",2,88,Installed,None,None,None,None,None,0,As new,apartment
rixensart-(genval),"525,000",3,141,USA installed,0,20,None,None,3,0,As new,apartment
antwerpen,"297,000",2,120,None,0,None,140,225,2,0,As new,house
izegem,"507,000",6,425,Installed,None,None,None,None,None,0,As new,apartment
mons,"194,000",2,74,USA installed,0,5,None,None,None,0,As new,apartment
uccle,"675,000",3,150,USA hyper equipped,0,22,None,None,2,0,Just renovated,duplex
antwerp,"335,000",2,135,None,0,None,None,None,2,None,Good,loft
uccle,"850,000",4,263,Installed,0,5,None,None,3,None,As new,apartment
ixelles,"320,000",2,77,Hyper equipped,0,8,None,None,2,0,To be done up,apartment
gullegem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
blankenberge,"315,650",2,89,Hyper equipped,0,13,None,None,2,0,None,apartment
saint-sauveur,"345,000",3,140,Installed,0,None,None,1000,None,None,None,house
evere,"535,000",4,255,Installed,0,None,180,277,2,None,Good,house
ixelles,"495,000",3,145,Semi equipped,0,20,50,None,2,0,As new,ground-floor
bruxelles,"310,000",2,116,USA installed,0,None,None,None,3,None,As new,apartment
schaerbeek,"795,000",5,248,Hyper equipped,0,15,90,195,2,0,Good,mansion
spa,"725,000",3,151,Hyper equipped,0,None,None,None,4,1,As new,apartment
vilvoorde,"275,000",2,80,USA installed,0,8,None,None,2,None,Good,apartment
arquennes,"165,000",4,198,Not installed,0,None,225,315,2,None,To renovate,house
arlon,"310,000",3,202,Installed,0,None,None,None,4,0,As new,duplex
pietrain,"235,000",4,246,Semi equipped,0,30,1210,981,3,0,To renovate,house
waregem,"393,700",2,116,Installed,0,25,None,None,4,None,None,apartment
st-genesius-rode,"1,090,000",4,230,Hyper equipped,0,25,None,1262,4,None,Good,house
bruxelles,"669,000",None,460,Semi equipped,0,None,None,223,2,None,To be done up,apartment-block
houffalize,"399,000",4,166,Hyper equipped,0,26,None,2164,4,0,None,villa
wavre,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
auderghem,"360,000",1,80,Hyper equipped,1,None,63,None,None,None,As new,apartment
ahin,"219,000",2,103,Installed,0,None,None,237,3,None,Just renovated,house
flemalle,"149,000",2,58,Installed,1,None,None,None,3,0,As new,apartment
ganshoren,"398,450",2,200,USA installed,0,56,None,100,3,0,As new,house
oupeye,"125,000",2,84,Not installed,0,None,None,None,4,0,Good,apartment
roeselare,"690,000",5,None,Installed,0,None,None,480,2,None,Good,mansion
ixelles,"1,125,000",3,233,Hyper equipped,0,5,None,None,2,None,As new,apartment
saint-gilles,"280,000",2,90,Semi equipped,0,None,None,None,2,0,To be done up,ground-floor
louvain-la-neuve,"450,000",3,116,Installed,0,None,None,None,None,0,As new,apartment
amay,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
uccle,"455,000",2,105,USA hyper equipped,0,7,75,None,None,0,As new,ground-floor
rixensart,"595,000",4,165,Semi equipped,0,None,None,1826,4,None,To renovate,exceptional-property
ixelles,"975,000",3,172,Installed,None,6,None,None,2,None,As new,apartment
ixelles,"1,500,000",3,None,Hyper equipped,0,12,None,None,None,1,As new,duplex
bruxelles,"275,000",2,100,Installed,0,None,None,None,1,0,Good,penthouse
bocholt,"275,000",4,311,Installed,None,None,None,530,3,None,Good,exceptional-property
vilvoorde,"179,000",2,64,Semi equipped,0,None,85,149,2,0,To renovate,house
molenbeek-saint-jean,"495,000",5,200,Hyper equipped,0,None,40,120,2,0,To renovate,apartment-block
beernem-oedelem,"305,000",3,181,USA installed,0,None,None,187,2,0,As new,house
ruisbroek,"295,000",2,100,Installed,0,25,100,170,2,None,None,house
poperinge,"240,000",3,158,Installed,0,45,None,358,None,None,Good,house
knokke-heist,"970,000",3,119,Hyper equipped,0,28,None,None,2,0,Good,apartment
uccle,"459,000",2,110,Installed,0,None,None,None,2,None,As new,ground-floor
landen,"192,000",2,65,Installed,0,None,None,68,3,0,Good,house
westerlo,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
gent,"536,867",3,124,None,None,19,None,None,None,0,None,apartment
beigem,"1,375,000",5,507,USA hyper equipped,0,77,None,997,4,None,Just renovated,country-cottage
heusden-zolder,"245,000",3,None,None,None,11,None,None,None,None,To be done up,apartment
schaerbeek,"275,000",1,80,USA hyper equipped,0,None,None,None,4,0,As new,apartment
villers-perwin,"145,000",1,50,Hyper equipped,0,7,6929,None,4,1,As new,service-flat
ixelles,"1,839,000",3,203,Installed,0,76,None,None,3,None,None,apartment
liege,"139,000",2,80,Installed,0,20,None,None,None,None,Good,apartment
ixelles,"365,000",1,77,USA semi equipped,0,None,None,None,None,0,As new,apartment
drogenbos,"349,900",3,131,USA hyper equipped,0,34,None,None,2,0,As new,apartment
grace-hollogne,"169,000",4,155,Installed,0,48,None,98,2,0,Good,house
sint-eloois-vijve,None,4,184,Installed,None,None,None,358,2,None,Good,house
bruxelles,"419,000",3,140,USA installed,0,10,None,None,2,0,As new,duplex
liege,"314,500",4,146,Not installed,0,5,None,5,None,None,Good,house
ronse,"165,000",3,100,Semi equipped,0,None,None,None,2,None,Good,house
antwerp,"299,000",2,94,Hyper equipped,0,8,None,None,None,0,As new,apartment
vorselaar,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
puurs,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
diksmuide,"260,000",3,285,Semi equipped,0,None,None,136,None,None,To be done up,house
sint-niklaas,"399,000",1,120,Hyper equipped,0,43,None,None,2,None,As new,apartment
denderhoutem,"289,500",3,227,Semi equipped,0,50,400,760,3,None,None,house
court-saint-etienne,"395,000",4,188,Installed,0,20,None,371,3,None,None,house
bruxelles,"695,000",4,225,Hyper equipped,0,12,None,None,None,0,Good,apartment
ledeberg,"270,000",2,102,Installed,0,None,None,None,None,None,Good,apartment
heverlee,"395,000",4,210,None,0,None,None,448,3,None,Good,house
waregem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
machelen,"649,000",4,None,Hyper equipped,0,None,None,1170,3,None,Good,house
duinbergen,"1,075,000",3,129,None,None,None,None,None,None,0,As new,apartment
oostkamp,"222,500",3,250,Installed,0,None,None,None,None,0,None,apartment
leuven,"749,000",4,205,None,0,18,61,147,2,None,Just renovated,mixed-use-building
oudenaarde,"207,000",1,53,USA installed,0,10,30,None,2,0,As new,service-flat
seraing,"259,500",3,179,Hyper equipped,0,31,90,170,2,0,As new,house
berchem,"149,000",1,62,Semi equipped,0,None,None,None,None,None,Good,apartment
buzet,"690,000",4,240,USA installed,0,60,1200,13000,2,0,Good,house
pont-a-celles,"184,900",2,113,Installed,0,20,400,470,3,0,To be done up,house
steenokkerzeel,"299,000",3,191,Not installed,0,None,250,369,3,None,To renovate,house
lier,"359,000",3,186,None,0,14,79,168,3,None,None,house
uccle,"1,199,000",5,250,Hyper equipped,0,80,50,None,3,None,As new,apartment
beernem,"214,000",2,87,Hyper equipped,None,None,None,None,None,None,As new,apartment
liege,"285,000",2,125,Installed,0,15,None,None,3,0,Good,apartment
grobbendonk,"975,000",5,550,Installed,0,None,None,2283,None,None,Good,exceptional-property
schaerbeek,"399,000",2,125,Installed,None,45,None,None,2,None,Good,duplex
antwerp,"147,000",1,45,Installed,0,None,None,None,None,0,Good,apartment
oreye,"350,000",4,180,USA hyper equipped,0,48,None,160,2,0,As new,house
willebroek,"460,000",3,145,Installed,0,44,50,243,2,None,None,mixed-use-building
vilvoorde,"625,000",3,250,Installed,0,31,110,263,2,None,Good,mixed-use-building
linkebeek,"270,000",1,60,None,0,None,None,85,2,None,None,house
jambes,"149,000",1,65,Installed,0,None,None,None,4,None,None,apartment
saint-georges-sur-meuse,"165,239",2,107,None,0,None,150,331,4,None,As new,house
libramont-chevigny,"259,000",3,200,Semi equipped,0,None,None,289,2,None,To be done up,house
gilly,"135,000",2,78,Installed,0,None,None,None,3,None,Good,apartment
mol,"294,462",2,102,Installed,0,13,59,None,2,None,None,apartment
mechelen,"390,000",2,123,Hyper equipped,0,9,None,None,None,0,As new,apartment
peronnes-lez-binche,"75,000",1,61,Semi equipped,0,None,None,112,3,None,Good,house
bruxelles,"910,000",5,406,Installed,0,None,None,97,2,None,As new,mixed-use-building
nieuwpoort,"209,000",1,61,None,1,None,None,None,None,0,As new,apartment
leuven,"299,500",2,69,None,0,3,None,None,2,None,None,duplex
forest,"1,250,000",3,None,USA hyper equipped,0,125,None,None,3,0,Good,loft
soumagne,"159,000",3,100,Semi equipped,0,None,None,95,3,0,To be done up,house
woluwe-saint-lambert,"455,000",3,136,Hyper equipped,0,10,None,None,2,0,As new,apartment
sint-niklaas,"379,000",5,245,Installed,0,20,None,260,2,None,Just renovated,house
assebroek,"335,000",2,114,Hyper equipped,0,13,None,None,None,0,None,apartment
halle,"245,000",2,80,Semi equipped,0,None,None,None,2,None,Good,apartment
liege,"299,000",3,227,None,0,None,None,None,2,None,To be done up,apartment-block
uccle,"849,000",4,238,Hyper equipped,0,20,660,None,2,0,As new,apartment
woluwe-saint-pierre,"545,000",3,125,Installed,0,14,None,None,2,0,To be done up,apartment
libramont-chevigny,"169,000",1,60,None,0,None,None,None,3,0,None,apartment
uccle,"353,000",2,98,USA semi equipped,None,6,None,None,2,0,As new,apartment
berchem-sainte-agathe,"215,000",1,60,USA hyper equipped,0,2,None,None,2,0,As new,apartment
blankenberge,"229,000",1,55,Installed,1,4,None,None,None,0,Good,apartment
sint-truiden,"269,000",3,195,None,None,None,None,None,None,0,To renovate,apartment
hotton,"220,000",4,186,Installed,0,None,923,923,4,None,Good,house
muizen,"1,200,000",10,460,None,0,None,None,4827,4,None,Good,exceptional-property
jette,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
ixelles,"160,000",1,35,Installed,None,None,None,None,2,None,To be done up,apartment
bertem,"390,000",2,140,Hyper equipped,0,10,None,None,None,0,As new,apartment
schaerbeek,"710,000",3,232,Installed,0,6,None,None,2,0,Good,apartment
juprelle,"255,000",3,140,Not installed,0,40,500,746,4,None,None,house
brussels,"1,095,000",5,320,USA hyper equipped,0,26,None,84,2,0,As new,mansion
spa,"207,500",4,155,Not installed,0,20,200,230,3,0,To be done up,mansion
breendonk,"359,000",4,167,Installed,0,None,None,407,2,None,Good,house
poulseur,"210,000",4,161,Not installed,0,None,200,380,3,None,To restore,house
ixelles,"780,000",4,190,Hyper equipped,0,15,60,140,2,None,Good,house
monceau,"600,000",4,204,Installed,None,None,18831,20390,4,0,Good,house
oupeye,"145,000",2,100,Semi equipped,0,None,None,146,2,None,To be done up,house
waregem,"393,700",2,116,Installed,0,25,None,None,4,None,None,apartment
saint-josse-ten-noode,"1,000,000",7,466,None,0,10,None,230,2,None,To renovate,mixed-use-building
forest,"280,000",2,90,None,0,7,None,None,None,None,To renovate,apartment
ixelles,"489,000",2,101,Installed,None,10,None,None,None,None,As new,penthouse
houffalize,"165,000",3,160,Semi equipped,0,None,431,431,4,None,To renovate,house
plombieres,"1,275,000",11,850,Installed,0,None,None,15000,4,1,To renovate,castle
grivegnee,"268,500",3,112,Installed,0,7,None,None,None,None,None,apartment
aalst-erembodegem,"295,000",3,156,Installed,None,20,None,178,4,None,Good,house
huy,"259,000",3,176,Installed,0,28,70,250,2,None,Good,house
kortrijk,"285,400",2,103,Hyper equipped,0,15,None,None,2,None,As new,apartment
bertem,"447,100",5,197,Installed,0,23,23,327,2,None,None,house
woluwe-saint-lambert,"320,000",2,91,Installed,0,15,None,None,2,0,As new,apartment
edegem,"525,000",3,177,Installed,0,32,70,180,2,0,As new,town-house
hooglede,"179,000",3,136,None,0,None,None,320,2,None,To renovate,house
peronnes-lez-binche,"185,000",2,110,Semi equipped,0,None,None,428,3,None,Good,house
buggenhout,"275,000",2,120,Hyper equipped,0,None,None,None,3,0,As new,duplex
sint-amandsberg,"345,000",3,150,Semi equipped,0,None,None,180,2,None,To be done up,house
waregem,"307,700",2,87,Installed,0,18,None,None,4,None,None,apartment
gent,"269,000",2,68,None,0,18,None,None,None,0,As new,apartment
jette,"295,000",3,120,Installed,0,None,None,None,2,None,Good,apartment
knokke-heist,"445,000",1,62,Installed,0,None,None,None,2,1,As new,apartment
erpe-mere,"820,000",3,397,Hyper equipped,None,None,None,10000,4,None,As new,exceptional-property
ramillies,"199,000",2,110,Not installed,0,None,None,477,3,0,To renovate,house
bruxelles,"175,000",None,53,USA hyper equipped,0,None,None,None,2,0,As new,flat-studio
herstal,"225,000",3,189,Installed,0,9,85,189,2,0,To be done up,town-house
saint-hubert,"295,000",5,254,None,0,None,None,1700,3,0,None,house
zottegem,"258,500",2,88,Hyper equipped,0,12,None,None,None,0,As new,apartment
acosse,"295,000",4,161,Installed,0,30,1000,1266,4,0,As new,house
assenede,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
gent,"445,404",2,103,None,None,31,None,None,None,0,None,apartment
lint,"389,000",3,107,Hyper equipped,0,4,None,None,4,0,As new,apartment
middelkerke,"399,000",2,110,Installed,1,None,None,None,None,0,As new,apartment
maldegem,"588,000",3,231,Installed,0,None,None,1102,4,None,None,villa
lebbeke,"725,000",5,315,Installed,0,None,516,516,2,0,As new,house
knokke-heist,"1,750,000",3,153,USA hyper equipped,None,6,None,None,None,0,As new,apartment
zandhoven,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
huy,"145,000",1,51,Semi equipped,0,25,None,None,2,None,Good,apartment
asse,"460,000",3,235,Hyper equipped,0,15,100,366,3,None,As new,house
ruddervoorde,"215,000",2,86,Installed,0,None,None,None,None,0,Good,apartment
bruxelles,"460,000",2,92,USA hyper equipped,0,8,None,None,None,None,Good,apartment
aiseau,"159,000",4,135,Semi equipped,0,None,330,650,2,None,Good,house
bruxelles,"365,000",1,73,Hyper equipped,None,None,None,None,2,None,As new,ground-floor
laeken,"259,000",2,105,Installed,0,4,None,None,2,0,To renovate,apartment
leuven-kessel-lo,"279,000",2,94,Hyper equipped,0,None,None,None,2,None,Good,apartment
evere,"225,000",None,40,USA hyper equipped,0,9,None,None,None,0,As new,flat-studio
amay,"249,000",3,110,Semi equipped,0,15,None,1083,4,None,None,bungalow
mont-saint-guibert,"194,000",1,62,USA hyper equipped,None,7,None,None,2,0,As new,apartment
dilbeek,"345,000",6,269,Not installed,0,None,149,200,2,0,To renovate,house
uccle,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
londerzeel,"294,000",3,105,Installed,0,None,None,233,None,None,Just renovated,house
verviers,"139,000",2,90,Installed,0,None,None,None,2,0,Good,apartment
gent,"395,000",2,78,Installed,0,None,None,None,None,None,Good,loft
dendermonde,"142,000",1,70,None,0,None,None,None,2,None,Good,apartment
saint-leger,"240,000",4,177,Semi equipped,0,None,None,450,2,None,To renovate,house
flemalle,"175,000",3,107,Semi equipped,0,None,115,350,3,0,Good,house
seraing,"249,000",7,343,Semi equipped,0,None,None,285,None,None,To be done up,house
schaerbeek,"320,000",2,107,USA hyper equipped,0,26,None,None,2,0,As new,apartment
seraing,"269,000",4,175,Installed,None,None,None,124,4,None,Good,house
beveren-leie,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-houses
nederbrakel,"349,000",5,210,Semi equipped,0,None,None,101,2,None,None,house
bruxelles,"1,090,000",4,423,USA hyper equipped,0,None,76,218,2,0,Good,apartment-block
evere,"298,000",2,90,Installed,0,8,None,None,2,0,Good,apartment
saint-nicolas,"169,000",2,98,Not installed,0,51,45,171,2,0,As new,house
knokke-heist,"1,850,000",3,145,None,0,None,None,None,2,0,As new,ground-floor
knokke-zoute,"6,650,000",5,358,Hyper equipped,None,None,1023,1023,4,0,As new,villa
anderlecht,"225,000",2,None,Installed,0,None,None,None,None,0,Good,apartment
grez-doiceau,"1,595,000",5,380,USA hyper equipped,0,300,5000,5200,4,1,Good,villa
koekelberg,"675,000",8,240,Semi equipped,0,None,50,110,2,None,To be done up,apartment-block
charleroi,"139,000",3,82,Semi equipped,0,2,None,None,None,None,Just renovated,apartment
gentbrugge,None,3,None,Installed,None,None,None,177,2,None,To renovate,house
tienen,"219,000",3,100,None,0,None,None,None,2,None,Good,apartment
havelange,"240,000",3,75,Semi equipped,0,None,None,900,4,None,To be done up,house
woluwe-saint-pierre,"695,000",4,270,Not installed,0,2,None,115,2,0,Good,apartment-block
evere,"369,000",3,176,Semi equipped,0,None,88,200,2,None,To renovate,house
gent,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
seneffe,"1,250,000",5,735,Hyper equipped,0,100,None,26769,4,0,As new,exceptional-property
schaerbeek,"485,000",3,176,Installed,0,None,None,40,2,None,Good,mansion
baisy-thy,"645,000",4,260,Installed,0,30,None,1412,4,None,Good,villa
ixelles,"360,000",1,90,Hyper equipped,0,None,None,None,2,0,Good,apartment
la-roche-en-ardenne,"156,000",3,105,Semi equipped,0,None,None,515,4,None,To be done up,house
oostende,"155,000",3,98,Semi equipped,1,None,None,None,None,0,None,apartment
woluwe-saint-lambert,"299,000",2,64,Installed,0,None,None,None,2,None,Good,apartment
laeken,"585,000",4,255,Hyper equipped,0,15,65,221,2,0,To be done up,town-house
zwijnaarde,"827,000",3,199,Installed,0,25,None,None,4,None,None,apartment
westende-bad,"210,000",1,45,Installed,0,None,None,None,2,None,Good,apartment
woluwe-saint-lambert,"695,000",3,166,None,0,42,None,None,None,0,As new,penthouse
hoegaarden,"379,000",4,358,Installed,0,65,348,774,3,1,Good,house
kortrijk,"339,000",3,178,None,0,None,None,187,2,None,Good,house
ixelles,"345,000",1,65,None,1,7,None,None,None,None,None,apartment
seraing,"89,500",1,57,Not installed,0,None,None,None,3,None,Good,apartment
pont-a-celles,"159,900",3,105,Not installed,0,None,75,360,3,0,To renovate,house
waregem,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
jette,"125,000",1,49,None,0,4,None,None,2,0,Good,apartment
leuven,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
wavre,"299,000",2,97,USA hyper equipped,0,5,None,None,None,0,As new,apartment
nivelles,"285,000",3,120,Installed,0,None,None,125,2,None,Good,house
ath,"280,000",3,125,Installed,0,50,400,697,3,None,As new,house
woluwe-saint-pierre,"465,000",3,120,USA hyper equipped,0,8,None,None,2,0,As new,penthouse
blankenberge,"144,000",2,67,Installed,0,4,None,None,None,None,Good,apartment
knokke-heist,"972,000",4,160,Installed,None,None,None,154,2,0,Good,town-house
munkzwalm,"339,000",5,200,Semi equipped,0,30,None,506,3,None,To be done up,house
ninove,"318,000",3,251,Installed,0,None,None,233,2,0,As new,town-house
lendelede,"145,000",1,70,Installed,0,None,None,None,None,None,Good,apartment
evere,"435,000",3,145,None,0,5,None,None,3,0,None,apartment
bettincourt,"335,000",4,None,None,0,42,None,1841,4,None,Good,villa
dergneau,"265,000",3,162,Semi equipped,0,None,None,605,4,None,Good,house
gistel,"224,000",2,96,Installed,0,None,7,None,2,0,Good,apartment
boom,"295,000",2,113,Installed,0,32,None,None,3,None,Good,apartment
uccle,"560,000",4,160,Installed,0,40,None,None,None,0,Good,penthouse
astene,"525,000",4,194,Installed,0,None,493,837,4,None,Good,bungalow
de-haan,"245,000",3,130,Installed,0,None,None,None,2,0,Good,duplex
bruxelles-ville,"420,000",2,80,Hyper equipped,0,14,None,None,4,None,As new,apartment
brussels,"332,000",2,92,USA hyper equipped,None,24,None,None,2,0,As new,apartment
seraing,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
sint-lambrechts-woluwe,"498,000",2,95,USA hyper equipped,0,50,None,None,3,0,As new,penthouse
esneux,"640,000",5,333,Installed,0,74,9116,9116,4,0,As new,villa
leuven-heverlee,"375,000",3,136,USA installed,0,8,None,None,2,None,As new,triplex
beveren-waas,"299,000",3,110,Installed,0,None,None,196,3,None,None,house
antwerp,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
bornem,"669,000",3,245,Installed,0,None,None,1685,4,None,Good,villa
auderghem,"480,000",3,95,USA hyper equipped,1,12,None,None,2,None,As new,apartment
nassogne,"350,000",3,250,Installed,0,None,None,1488,4,None,Good,house
koekelberg,"250,000",2,100,Installed,0,7,None,None,2,None,Good,apartment
etterbeek,"424,900",2,110,Hyper equipped,0,5,None,None,2,None,Good,apartment
ixelles,"1,495,000",5,255,Hyper equipped,None,40,1200,None,3,0,To renovate,apartment
wanfercee-baulet,"179,000",3,134,Semi equipped,0,None,None,None,2,None,None,house
sint-eloois-winkel,"285,000",2,159,Installed,0,25,None,None,None,0,As new,apartment
sint-pieters-leeuw,"175,000",1,56,Semi equipped,0,None,None,None,None,None,To be done up,apartment
wavre,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
bruxelles,"3,500,000",3,540,USA hyper equipped,0,36,None,None,4,1,As new,penthouse
liege,"225,000",3,100,Not installed,0,29,140,242,2,0,To be done up,house
kontich,"383,250",2,129,Hyper equipped,0,24,142,None,4,None,None,apartment
manage-faytlez-manage,"220,000",4,140,Installed,0,20,None,395,2,0,As new,house
sterrebeek,"1,295,000",4,195,Hyper equipped,0,21,205,None,2,0,As new,ground-floor
mechelen,None,None,None,None,None,None,None,None,None,None,None,new-real-estate-project-apartments
machelen,"259,000",1,79,Installed,None,4,None,None,None,0,None,apartment
lot,"295,000",2,92,Installed,0,12,None,None,3,None,None,apartment
